Número atômico;Símbolo;1-Grupo;2-Grupo antigo;3-Período;4-Nome;5-Name;6-Massa atômica;7-Ponto de fusão °C;8-Ponto de ebulição °C;9-Densidade g/mL;10-Eletronegatividade;11-Primeiro potencial de ionização (eV) ;12-Segundo potencial de ionização (eV) ;13-Terceiro potencial de ionização (eV) ;14-Primeiro potencial de ionização (kJ/mol) ;15-Segundo potencial de ionização (kJ/mol) ;16-Terceiro potencial de ionização (kJ/mol) ;17-Afinidade eletrônica (eV);18-Afinidade eletrônica (kJ/mol);19-Estados comuns de oxidação;20-Íons normalmente formados;21-Configuração eletrônica prevista;22-Configuração eletrônica observada;23-Raio atômico (Å) ;24-Raio iônico (Å) ;25-Raio covalente (Å) ;26-Raio (2- ion) pm;27-Raio (1- ion) pm;28-Raio atômico (pm);29-Raio (1+ ion) pm;30-Raio (2+ ion) pm;31-Raio (3+ ion) pm;32-Volume atômico (cm^3/mol) ;33-Estrutura cristalina;34-Registro CAS;35-Condutividade elétrica (mho/cm) ;36-Calor específico (J/g K) ;37-Calor de fusão (kJ/mol) ;38-Calor de vaporização (kJ/mol) ;39-Condutividade térmica (W/(m K)) ;40-mg/kg na Crosta terrestre;41-mg/L nos oceanos;42-Porcentagem em massa no corpo humano;43-Notas;44-Fontes;45Cor;46-Características;47-Estrutura;48-Dureza (mohs);49-Usos;50-Reação com ar;51-Reação com água;52-Reação com HCl 6M;53-Reação com HNO3 15M;54-Reação com NaOH 6M;55-Hidretos;56-Óxidos;57-Cloretos;58-Polarização (A^3);59-Calor de atomização (kJ/mol);60-Ano de descoberta;61-Abundância relativa no sistema solar (log);62-Abundância relativa na crosta terrestre (log);63-Custo puro ($/100g);64-Custo contaminado ($/100g);65-Toxico?;66-Cancerígeno?;Séries químicas;Metais;Origem;Configuração eletrônica;Ultimo subnível;Estado físico;Tabela muda;Teste1;Teste2;;25
34;Se;16;VI A;4;Selênio;selenium;78,971;217;685;4,79;2,55;9,7524;21,19;30,82;941;2045;2974;2,02;195;+4,?2,+6;?2;[Ar] 4s2 3d10 4p4;[Ar] 4s2 3d10 4p4;1,22;0,5;1,16;184;-;119;-;-;-;16,45;hexagonal;7782-49-2;1E-12;0,32;6,694;37,7;2,04;0,05;0,0002;-;-;Cu smelting by-product;preto;6 forms;parallel chains;2;Xerography, medicines;vigorosa, w/ht =>SeO2;-;nenhuma;branda, =>H2SeO3, NOx;-;SeH2;SeO2 SeO3;Se2Cl2 Se4Cl16;3,8;227;1818;1,7930916;-1,3;14;-;sim;não;5;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
35;Br;17;VII A;4;Bromo;bromine;79,904;-7,2;58,8;3,12;2,96;11,8138;21,8;36;1140;2103;3473;3,36;324;±1,+5;?1;[Ar] 4s2 3d10 4p5;[Ar] 4s2 3d10 4p5;1,12;1,96;1,14;-;182;114;-;-;-;25,6;ortorrômbico;7726-95-6;-;0,473;5,286;15,438;0,122;2,4;67,3;0,00029;-;Seawater, brines;tijolo;diatomic,corrosive,liquid;layers of Br2 ;-;pesticides,photography;nenhuma;nenhuma, dissolve Br2(aq);nenhuma, dissolve Br2(aq);-;branda, =>OBr-, Br-;HBr;Br2O BrO2;BrCl;3,1;112;1826;1,071882007;0,4;4,9;-;sim;não;3;;1;1;2;2;;FALSO;VERDADEIRO;;
36;Kr;18;VIII A;4;Criptônio;krypton;83,798;-157;-152;0,00374;3;13,9996;24,359;36,95;1351;2350;3565;<0;<0;0;-;[Ar] 4s2 3d10 4p6;[Ar] 4s2 3d10 4p6;1,03;-;1,12;-;-;112;-;-;-;38,9;cúbica: face centrada;7439-90-9;-;0,248;1,638;9,029;0,00949;0,0001;0,00021;-;-;Ar;incolor;unreactive;fcc: face-centered cubic;-;lamps, UV-laser;nenhuma;nenhuma;nenhuma;nenhuma;nenhuma;nenhum;nenhum;nenhum;2,5;0;1898;1,653212514;-4;33;-;não;não;4;;1;1;2;3;;FALSO;FALSO;;
37;Rb;1;I A;5;Rubídio;rubidium;85,4678;38,9;686;1,53;0,82;4,1771;27,28;40;403;2632;3859;0,49;47;+1;+1;[Kr] 5s2;[Kr] 5s2;2,98;1,61;2,16;-;-;248;166;-;-;55,9;cúbica: corpo centrado;7440-17-7;0,0779;0,363;2,192;72,216;58,2;90;0,12;0,00046;-;Li extractn by-product;prateado-branco;soft;bcc: body-centered cubic;0,3;photocells;vigorosa, =>RbO2;vigorosa, =>H2, RbOH;vigorosa, =>H2, RbCl;vigorosa,=>RbNO3, H2, NOx;vigorosa, =>H2, RbOH;RbH;Rb2O;RbCl;47,3;86;1861;0,850646235;2;1200;-;-;-;2;1;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
38;Sr;2;II A;5;Estrôncio;strontium;87,62;769;1384;2,54;0,95;5,6948;11,03;43,6;549;1064;4207;0,11;11;+2;+2;[Kr] 5s2;[Kr] 5s2;2,45;1,26;1,91;-;-;215;-;132;-;33,7;cúbica: face centrada;7440-24-6;0,0762;0,3;8,3;144;35,3;370;7,2;0,00046;-;Celestite (sulfide);prateado;tarnishes;hcp: hexagonal close pkd;1,8;fireworks (red flame);vigorosa, =>SrO, Sr2N3;branda, =>H2, Sr(OH)2;vigorosa, =>H2, SrCl2;vigorosa, =>Sr(NO3)2, H2;nenhuma;SrH2;SrO;SrCl2;27,6;164;1808;1,371067862;2,6;100;-;-;-;2;2;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
39;Y;3;III B;5;Ítrio;yttrium;88,90584;1523;3337;4,47;1,22;6,217;12,24;20,52;600;1181;1980;0,31;30;+3;+3;[Kr] 5s2 4d1;[Kr] 5s2 4d1;2,27;1,02;1,62;-;-;180;-;-;104;19,8;hexagonal;7440-65-5;0,0166;0,3;11,4;363;17,2;33;0,000013;-;-;xenotime (phosphate);prateado;forms protective oxide;hcp: hexagonal close pkd;-;YAG laser, TV phosphor;vigorosa, =>Y2O3;branda, =>H2, Y(OH)3;branda, =>H2, YCl3;vigorosa, =>Y(NO3)3;-;YH2 YH3;Y2O3;YCl3;22,7;423;1794;0,666517981;1,51;220;-;-;não;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
40;Zr;4;IV B;5;Zircônio;zirconium;91,224;1852;4377;6,51;1,33;6,6339;13,13;22,99;640;1267;2218;0,43;41;+4;+4;[Kr] 5s2 4d2;[Kr] 5s2 4d2;2,16;0,84;1,45;-;-;160;-;-;-;14,1;hexagonal;7440-67-7;0,0236;0,27;16,9;58,2;22,7;165;0,00003;-;-;Zircon (silicate);acinzentado;hard, relatively inert;hcp: hexagonal close pkd;-;deodorants, fuel rod clad;branda, w/ht =>Zr2O3;nenhuma;nenhuma;passiva;nenhuma;ZrH2;ZrO2;ZrCl3 ZrCl4;17,9;609;1789;1,056904851;2,24;16;16;-;-;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
41;Nb;5;VI B;5;Nióbio;niobium;92,90637;2468;4742;8,57;1,6;6,7589;14,32;25,04;652;1382;2416;0,9;87;+5,3;+5,3;[Kr] 5s2 4d3;[Kr] 5s1 4d4;2,08;0,64;1,67;-;-;146;-;-;86;10,87;cúbica: corpo centrado;7440-03-1;0,0693;0,26;26,4;682;53,7;20;0,00001;-;-;columbite (oxide);prateado-branco;soft;bcc: body-centered cubic;-;stainless steels, magnets;nenhuma, w/ht =>Nb2O3;nenhuma;nenhuma;-;nenhuma;NbH NbH2;NbO NbO2 Nb2O5;NbCl3 NbCl4 NbCl5;15,7;726;1801;-0,156144577;1,3;18;-;-;-;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
42;Mo;6;VI B;5;Molibdênio;molybdenum;95,95;2617;4612;10,2;2,16;7,0924;16,461;27,16;684;1588;2621;0,75;72;+6,3,5;+6,3,5;[Kr] 5s2 4d4;[Kr] 5s1 4d5;2,01;0,59;1,3;-;-;139;-;-;83;9,4;cúbica: corpo centrado;7439-98-7;0,187;0,25;32;598;138;1,2;0,01;0,00001;-;Molybdenite (sulfide);prateado-branco;very hard;bcc: body-centered cubic;-;catalysts, tool steel;nenhuma, w/ht =>MoO3;nenhuma;nenhuma;-;-;nenhum;MoO2 MoO3;MoClx [x=2-6];12,8;658;1781;0,40654018;0,2;11;-;-;não;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
43;Tc;7;VII B;5;Tecnécio;technetium;98;2172;4877;11,5;1,9;7,28;15,26;29,54;702;1472;2850;0,55;53;+7,4,6;+7,4,6;[Kr] 5s2 4d5;[Kr] 5s2 4d5;1,95;-;1,27;-;-;136;-;-;-;8,5;hexagonal;7440-26-8;0,067;0,21;24;660;50,6;-;-;-;-;Sintético (U fission);prateado cinza;radioativo, man made;hcp: hexagonal close pkd;-;medical imaging agents;branda, w/ht, =>Tc2O7;nenhuma;nenhuma;branda, =>HTcO4;-;nenhum;TcO2 Tc2O7;TcCl4;11,4;677;1939;-;-;-;-;-;não;2;3;2;3;3;1;;VERDADEIRO;VERDADEIRO;;
44;Ru;8;VIII B;5;Rutênio;ruthenium;101,07;2310;3900;12,4;2,2;7,3605;16,76;28,47;710;1617;2747;1,05;101;+4,3,6,8;+4,3,6,8;[Kr] 5s2 4d6;[Kr] 5s1 4d7;1,89;0,62;1,25;-;-;134;-;-;82;8,3;hexagonal;7440-18-8;0,137;0,238;24;595;117;0,001;0,0000007;-;-;nickel ores (sulfides);prateado-branco;hard;hcp: hexagonal close pkd;6,5;catalysts;nenhuma abaixo de 800 C;nenhuma;nenhuma;nenhuma;-;nenhum;RuO2 RuO4;RuCl2 RuCl3;9,6;643;1844;0,269512944;-3;1400;-;-;-;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
45;Rh;9;VIII B;5;Ródio;rhodium;102,9055;1966;3727;12,4;2,28;7,4589;18,08;31,06;720;1744;2997;1,14;110;+3,4,6;+3,4,6;[Kr] 5s2 4d7;[Kr] 5s1 4d8;1,83;0,67;1,25;-;-;134;-;-;80,5;8,3;cúbica: face centrada;7440-16-6;0,211;0,242;21,5;493;150;0,001;-;-;-;nickel ores (sulfides);prateado-branco;forms hard coatings;fcc: face-centered cubic;-;catalysts, elec. contacts;nenhuma, w/ht =>Rh2O3;nenhuma;nenhuma;nenhuma;nenhuma;nenhum;Rh2O3 RhO2;RhCl3;8,6;556;1803;-0,463441557;-3;13000;-;-;não;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
46;Pd;10;VIII B;5;Paládio;palladium;106,42;1554;3140;12;2,2;8,3369;19,63;32,93;804;1894;3177;0,56;54;+2,4;+2,4;[Kr] 5s2 4d8;[Kr] (5s0) 4d10;1,79;0,64;1,28;-;-;137;-;100;90;8,9;cúbica: face centrada;7440-05-3;0,095;0,24;17,6;357;71,8;0,015;-;-;-;nickel ores (sulfides);prateado-branco;absorbs H2;fcc: face-centered cubic;4,8;catalysts, dental crowns;branda, w/ht, =>PdO;nenhuma;nenhuma;branda, =>Pd(NO3)2;nenhuma;PdHx x<1 não estequiométrico;PdO;PdCl2;4,8;378;1803;0,1430148;-2;15;290;-;-;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
47;Ag;11;I B;5;Prata;silver;107,8682;962;2212;10,5;1,93;7,5762;21,49;34,83;731;2073;3361;1,3;125;+1;+1;[Kr] 5s2 4d9;[Kr] 5s1 4d10;1,75;1,15;1,34;-;-;144;129;108;89;10,3;cúbica: face centrada;7440-22-4;0,63;0,235;11,3;250,58;429;0,075;0,00004;-;-;Argentite (sulfide);prateado;soft, ductile, tarnishes;fcc: face-centered cubic;3,25;film(AgBr),coins,jewelry;branda, =>Ag2O;nenhuma;nenhuma;branda, =>AgNO3;-;nenhum;Ag2O;AgCl;7,9;284;-;-0,313363731;-1,2;120;14;-;não;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
48;Cd;12;II B;5;Cádmio;cadmium;112,414;320,9;765;8,65;1,69;8,9937;16,908;37,48;868;1631;3616;<0;<0;+2;+2;[Kr] 5s2 4d10;[Kr] 5s2 4d10;1,71;0,95;1,48;-;-;151;-;109;-;13,1;hexagonal;7440-43-9;0,138;0,23;6,192;99,57;96,8;0,15;0,00011;0,00007;-;Sphalerite (sulfide);branco azulado;soft;distorted hcp structure;2;battery,yel. pigment(CdS);branda, w/ht =>CdO;nenhuma;branda, =>H2, Cd(Cl)2;branda, =>Cd(NO3)2, NOx;nenhuma;-;CdO;CdCl2;7,2;112;1817;0,206825876;-0,7;6;-;-;sim;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
49;In;13;III A;5;Índio;indium;114,818;156,6;2080;7,31;1,78;5,7864;18,869;28,03;558;1821;2704;0,3;29;+3;+3;[Kr] 5s2 4d10 5p1;[Kr] 5s2 4d10 5p1;2;0,8;1,44;-;-;167;-;-;94;15,7;tetragonal;7440-74-6;0,116;0,23;3,263;231,5;81,6;0,25;0,002;-;-;Zn/Pb smelting by-product;prateado-branco;soft;distorted fcc structure;1,2;transistors, photocells;branda, =>In2O3;-;branda, =>H2, InCl3;branda, =>In(NO3)3;nenhuma;-;In2O3;InCl InCl3;9,7;243;1863;-0,735182177;-1;120;-;-;não;2;6;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
50;Sn;14;IV A;5;Estanho;tin;118,71;232;2270;7,31;1,96;7,3438;14,632;30,502;709;1412;2943;1,11;107;+4,2;+4,2;[Kr] 5s2 4d10 5p2;[Kr] 5s2 4d10 5p2;1,72;0,71;1,41;-;-;140,5;-;-;-;16,3;tetragonal;7440-31-5;0,0917;0,227;7,029;295,8;66,6;2,3;0,000004;0,00002;-;Cassiterite (oxide);prateado-branco;"resists corrosion;2 forms";distorted diamond;1,65;solder, pewter, bronze;branda, w/ht, =>SnO2;nenhuma;nenhuma;branda, =>SnO2, NOx;branda, =>H2, [Sn(OH)6] 2-;SnH4 Sn2H6;SnO SnO2;SnCl2 SnCl4;7,7;302;-;0,582063363;0,3;8;0,83;-;não;2;6;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
51;Sb;15;V A;5;Antimônio;antimony;121,76;631;1950;6,69;2,05;8,64;16,53;25,3;834;1595;2441;1,07;103;+3,5;+3,5;[Kr] 5s2 4d10 5p3;[Kr] 5s2 4d10 5p3;1,53;0,76;1,4;-;-;140;-;-;90;18,23;romboédrico;7440-36-0;0,0288;0,21;19,87;77,14;24,3;0,2;0,00024;-;-;Stibnite (sulfide);branco azulado;"brittle; 5 forms";rhombohedral;3,15;Pb alloy(battery), dyeing;branda, w/ht, =>Sb2Ox x=3-5;nenhuma;nenhuma;branda, =>Sb2O5;nenhuma;SbH3;Sb2O3 Sb2O4 Sb2O5;SbCl3 SbCl5;6,6;262;1600;-0,510041521;-0,7;4,5;0,44;-;não;1;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
52;Te;16;VI A;5;Telúrio;tellurium;127,6;449,5;989,8;6,24;2,1;9,0096;18,6;27,96;869;1795;2698;1,97;190;+4,6,?2;?2;[Kr] 5s2 4d10 5p4;[Kr] 5s2 4d10 5p4;1,43;0,97;1,36;207;-;142;-;-;-;20,5;hexagonal;13494-80-9;0,000002;0,2;17,49;52,55;2,35;0,001;-;-;-;Zn/Pb smelting by-product;prateado;semimetal;parallel chains;2,3;semiconductors, steel;branda, w/ht, =>TeO2;nenhuma;nenhuma;branda, =>Te(IV);-;H2Te;TeO2 TeO3;Te2Cl Te3Cl2 Te4Cl16;5,5;197;1783;0,682145076;-3;24;-;sim;não;1;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
53;I;17;VII A;5;Iodo;iodine;126,90447;113,5;184;4,93;2,66;10,4513;19,131;33;1008;1846;3184;3,06;295;?1,+5,7;?1;[Kr] 5s2 4d10 5p5;[Kr] 5s2 4d10 5p5;1,32;2,2;1,33;-;206;133;-;-;-;25,74;ortorrômbico;7553-56-2;8E-16;0,214;7,824;20,752;0,449;0,45;0,06;0,00002;-;Brines, Chilean nitrate (misc);preto azulado;diatomic;layers of I2;-;nutrient, antiseptic;nenhuma;nenhuma, dissolve ligeiramente;nenhuma;branda, =>HIO3;branda, =>OI-, I-;HI;I2O5 I4O9 I2O4;ICl ICl3;5;107;1811;-0,045757491;-0,3;8,3;-;sim;não;3;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
54;Xe;18;VIII A;5;Xenônio;xenon;131,293;-111,8;-107,1;0,00589;2,6;12,1299;21,21;32,1;1170;2046;3097;<0;<0;0;-;[Kr] 5s2 4d10 5p6;[Kr] 5s2 4d10 5p6;1,24;-;1,31;-;-;131;-;-;-;37,3;cúbica: face centrada;7440-63-3;-;0,158;2,297;12,636;0,00569;0,00003;0,00005;-;-;Air;incolor;unreactive;fcc: face-centered cubic;-;UV-laser, hi intens lamps;nenhuma;nenhuma;nenhuma;nenhuma;nenhuma;nenhum;XeO3 XeO4;nenhum;4;0;1898;0,672097858;-4,5;120;-;não;não;4;;1;1;2;3;;FALSO;FALSO;;
55;Cs;1;I A;6;Césio;cesium;132,905452;28,4;669;1,87;0,79;3,8939;25,1;-;376;2422;-;0,47;45;+1;+1;[Xe] 6s1;[Xe] 6s1;3,34;1,74;2,35;-;-;265;181;-;-;71,07;cúbica: corpo centrado;7440-46-2;0,0489;0,24;2,092;67,74;59;3;0,0003;0,000002;-;Li extractn by-product;amarelo/prateado;softest metal;bcc: body-centered cubic;0,2;photocells, IR lamps;vigorosa, =>CsO2;vigorosa, =>H2, CsOH;vigorosa, =>H2, CsCl;vigorosa, =>CsNO3;vigorosa, =>H2, CsOH;CsH;Cs2O;CsCl;59,6;79;1860;-0,42945706;0;1100;-;-;-;2;1;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
56;Ba;2;II A;6;Bário;barium;137,327;725;1640;3,5;0,89;5,2117;10,004;-;503;965;-;0,15;14;+2;+2;[Xe] 6s2;[Xe] 6s2;2,78;1,42;1,98;-;-;222;-;149;-;39,24;cúbica: corpo centrado;7440-39-3;0,03;0,204;7,75;142;18,4;425;0,013;0,00003;-;Barite (sulfate);prateado-branco;soft;bcc: body-centered cubic;-;X-ray imaging agnt(BaSO4);vigorosa,wt/ht=>BaO,Ba2N3;vigorosa, =>H2, Ba(OH)2;vigorosa, =>H2, BaCl2;branda, =>Ba(NO3)2;passiva;BaH2;BaO;BaCl2;39,7;180;1808;0,652246341;2,6;55;-;-;não;2;2;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
57;La;Lantanídeos;III B;6;Lantânio;lanthanum;138,90547;920;3454;6,15;1,1;5,577;11,059;19,174;538;1067;1850;0,5;48;+3;+3;[Xe] 6s2 4f1;[Xe] 6s2 4f1;2,74;1,16;1,69;-;-;187;-;-;117,2;20,73;hexagonal;7439-91-0;0,0126;0,19;6,2;414;13,5;39;0,0000034;-;-;Monazite(phosphate),bastnaesite;prateado-branco;soft, malleable; cp: close packed (ABCB);-;lighter flints, CRTs;vigorosa, w/ht =>La2O3;branda, =>H2, La(OH)3;branda, =>H2, LaCl3;branda, =>La(NO3)3;-;LaH2 LaH3;La2O3;LaCl3;31,1;423;1839;-0,350665141;1,5;64;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
58;Ce;Lantanídeos;Lantanídeos;6;Cério;cerium;140,116;798;3257;6,66;1,12;5,5387;10,851;20,2;534;1047;1949;-;-;+3,4;+3,4;[Xe] 6s2 4f2;[Xe] 6s2 4f2;2,7;1,14;1,65;-;-;182;-;-;115;20,67;cúbica: face centrada;7440-45-1;0,0115;0,19;5,46;414;11,4;66,5;0,0000012;-;-;Monazite(phosphate),bastnaesite;prateado-branco;malleable;fcc: face-centered cubic;-;self-cleaning ovens(CeO2);vigorosa, w/ht =>CeO2;branda, =>H2, Ce(OH)3;vigorosa, =>H2, CeCl3;branda, =>Ce(NO3)3;-;CeH2 CeH3;Ce2O3 CeO2;CeCl3;29,6;419;1803;0,055378331;1,8;57;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
59;Pr;Lantanídeos;Lantanídeos;6;Praseodímio;praseodymium;140,90766;931;3017;6,77;1,13;5,464;10,551;21,62;527;1018;2086;-;-;+3,4;+3,4;[Xe] 6s2 4f3;[Xe] 6s2 4f3;2,67;1,13;1,65;-;-;182;-;-;113;20,8;hexagonal;7440-10-0;0,0148;0,19;6,89;296,8;12,5;9,2;0,00000064;-;-;Monazite(phosphate),bastnaesite;prateado-branco;soft; cp: close packed (ABCB);-;alloys, Welder's mask;vigorosa, =>Pr6O11 aprox;branda, =>H2, Pr(OH)3;branda, =>H2, PrCl3;branda, =>Pr(NO3)3;-;PrH2 PrH3;PrO2 Pr6O11;PrCl3;28,2;356;1885;-0,777543663;0,9;170;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
60;Nd;Lantanídeos;Lantanídeos;6;Neodímio;neodymium;144,242;1016;3127;7;1,14;5,525;10,727;22,076;533;1035;2130;-;-;+3;+3;[Xe] 6s2 4f4;[Xe] 6s2 4f4;2,64;-;1,64;-;-;181;-;-;112,3;20,6;hexagonal;7440-00-8;0,0157;0,19;7,14;273;16,5;41,5;0,0000028;-;-;Monazite(phosphate),bastnaesite;prateado-branco;-; cp: close packed (ABCB);-;alloys, Welder's mask;vigorosa, w/ht =>Nd2O3;branda, =>H2, Nd(OH)3;branda, =>H2, NdCl3;branda, =>Nd(NO3)3;-;NdH2 NdH3;Nd2O3;NdCl2 NdCl3;31,4;328;1885;-0,082022117;1,4;110;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
61;Pm;Lantanídeos;Lantanídeos;6;Promécio;promethium;145;1042;3000;7,26;-;5,55;10,903;22,283;535;1052;2150;-;-;+3;+3;[Xe] 6s2 4f5;[Xe] 6s2 4f5;2,62;1,07;1,63;-;-;183;-;-;111;22,39;hexagonal;7440-12-2;-;0,18;-;-;17,9;-;-;-;-;Sintético;prateado-branco;radioativo; cp: close packed (ABCB);-;nuclear battery;vigorosa, =>Pm2O3;branda, =>H2, Pm(OH)3;branda, =>H2, PmCl3;branda, =>Pm(NO3)3;-;-;Pm2O3;-;30,1;301;1945;-;-19,3;-;-;-;-;2;5;2;2;4;1;;VERDADEIRO;VERDADEIRO;;
62;Sm;Lantanídeos;Lantanídeos;6;Samário;samarium;150,36;1074;1794;7,52;1,17;5,6437;11,069;23,423;545;1068;2260;-;-;+3,2;+3,2;[Xe] 6s2 4f6;[Xe] 6s2 4f6;2,59;1,08;1,62;-;-;180;-;-;109,8;19,95;romboédrico;7440-19-9;0,00956;0,2;8,63;166,4;13,3;7,05;0,00000045;-;-;Monazite(phosphate),bastnaesite;prateado-branco;-; cp: cls pkd (ABCBCACAB);-;alloys, headphones;vigorosa, =>Sm2O3;branda, =>H2, Sm(OH)3;branda, =>H2, SmCl3;branda, =>Sm(NO3)3;-;SmH2 SmH3;Sm2O3;SmCl2 SmCl3;28,8;207;1880;-0,588043762;0,8;130;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
63;Eu;Lantanídeos;Lantanídeos;6;Európio;europium;151,964;822;1529;5,24;-;5,6704;11,245;24,926;547;1085;2405;-;-;+3,2;+3,2;[Xe] 6s2 4f7;[Xe] 6s2 4f7;2,56;1,07;1,85;-;-;208;-;131;108,7;28,9;cúbica: corpo centrado;7440-53-3;0,00112;0,18;9,21;143,5;13,9;2;0,00000013;-;-;Monazite(phosphate),bastnaesite;prateado-branco;hard;bcc: body-centered cubic;-;alloys, color TV phosphor;vigorosa, =>Eu2O3;branda, =>H2, Eu(OH)3;branda, =>H2, EuCl3;branda, =>Eu(NO3)3;-;EuH2;Eu2O3;EuCl2 EuCl3;27,7;178;1901;-1,01188716;0,1;3600;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
64;Gd;Lantanídeos;Lantanídeos;6;Gadolínio;gadolinium;157,25;1313;3273;7,9;1,2;6,15;12,095;20,635;593;1167;1991;-;-;+3;+3;[Xe] 6s2 4f8;[Xe] 6s2 4f8;2,54;1,05;1,61;-;-;180;-;-;107,8;19,9;hexagonal;7440-54-2;0,00736;0,23;10,05;359,4;10,6;6,2;0,0000007;-;-;Monazite(phosphate),bastnaesite;prateado-branco;-;hcp: hexagonal close pkd;-;alloys, CD disk;vigorosa, =>Gd2O3;branda, =>H2, Gd(OH)3;branda, =>H2, GdCl3;branda, =>Gd(NO3)3;-;GdH2 GdH3;Gd2O3;GdCl3;23,5;398;1880;-0,48148606;0,7;191;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
65;Tb;Lantanídeos;Lantanídeos;6;Térbio;terbium;158,92535;1365;3230;8,23;-;5,8939;11,525;21,91;569;1112;2114;-;-;+3,4;+3,4;[Xe] 6s2 4f9;[Xe] 6s2 4f9;2,51;1,18;1,59;-;-;177;-;-;106,3;19,2;hexagonal;7440-27-9;0,00889;0,18;10,8;330,9;11,1;1,2;0,00000014;-;-;Monazite(phosphate),bastnaesite;prateado-branco;soft;hcp: hexagonal close pkd;-;alloys;vigorosa, =>Tb4O7 (aprox.);branda, =>H2, Tb(OH)3;branda, =>H2, TbCl3;branda, =>Tb(NO3)3;-;TbH2 TbH3;TbO2 Tb4O7;TbCl3;25,5;389;1843;-1,219682688;0;1800;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
66;Dy;Lantanídeos;Lantanídeos;6;Disprósio;dysprosium;162,5;1412;2567;8,55;1,22;5,9389;11,67;22,802;573;1126;2200;-;-;+3;+3;[Xe] 6s2 4f10;[Xe] 6s2 4f10;2,49;1,03;1,59;-;-;178;-;121;105,2;19;hexagonal;7429-91-6;0,0108;0,17;11,06;230,1;10,7;5,2;0,00000091;-;-;Monazite(phosphate),bastnaesite;prateado-branco;neutron absorber;hcp: hexagonal close pkd;-;alloys, CD disk;vigorosa, =>Dy2O3;branda, =>H2, Dy(OH)3;branda, =>H2, DyCl3;branda, =>Dy(NO3)3;-;DyH2 DyH3;Dy2O3;DyCl2 DyCl3;24,5;291;1886;-0,40428338;0,5;210;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
67;Ho;Lantanídeos;Lantanídeos;6;Hólmio;holmium;164,93033;1474;2700;8,8;1,23;6,0216;11,805;22,843;581;1139;2204;-;-;+3;+3;[Xe] 6s2 4f11;[Xe] 6s2 4f11;2,47;-;1,58;-;-;176;-;-;104,1;18,8;hexagonal;7440-60-0;0,0124;0,16;12,2;241;16,2;1,3;0,00000022;-;-;Monazite(phosphate),bastnaesite;prateado-branco;-;hcp: hexagonal close pkd;-;alloys;vigorosa, =>Ho2O3;branda, =>H2, Ho(OH)3;branda, =>H2, HoCl3;branda, =>Ho(NO3)3;-;HoH2 HoH3;Ho2O3;HoCl3;23,6;301;1879;-1,051098239;0,1;740;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
68;Er;Lantanídeos;Lantanídeos;6;Érbio;erbium;167,259;1529;2868;9,07;1,24;6,1078;11,929;22,739;589;1151;2194;-;-;+3;+3;[Xe] 6s2 4f12;[Xe] 6s2 4f12;2,45;1;1,57;-;-;176;-;-;103;18,4;hexagonal;7440-52-0;0,0117;0,17;19,9;261;14,3;3,5;0,00000087;-;-;Monazite(phosphate),bastnaesite;prateado-branco;-;hcp: hexagonal close pkd;-;alloys, photogr. filter;vigorosa, =>Er2O3;branda, =>H2, Er(OH)3;branda, =>H2, ErCl3;branda, =>Er(NO3)3;-;ErH2 ErH3;Er2O3;ErCl3;22,7;317;1843;-0,600672468;0,4;270;-;-;-;2;5;1;2;4;1;;VERDADEIRO;VERDADEIRO;;
